case,n_nodes,n_relations,n_families,relation_types,backends,status
cse,6,7,3,AC_EQUIVALENT|CSE_SHARED|EGRAPH_EQUIVALENT|KNOWN_REWRITE_EQUIVALENT|LGG_FAMILY|PATTERN_MATCH|SUBSTITUTION_INSTANCE,egglog|lgg|matchpy|sympy,"{""sympy"": ""AVAILABLE"", ""matchpy"": ""AVAILABLE"", ""egglog"": ""AVAILABLE"", ""lgg"": ""AVAILABLE"", ""cadabra"": ""OPTIONAL / unavailable"", ""form"": ""OPTIONAL / unavailable"", ""metatheory"": ""OPTIONAL / unavailable""}"
ac,1,2,0,EGRAPH_EQUIVALENT|KNOWN_REWRITE_EQUIVALENT,egglog,"{""sympy"": ""AVAILABLE"", ""matchpy"": ""AVAILABLE"", ""egglog"": ""AVAILABLE"", ""lgg"": ""AVAILABLE"", ""cadabra"": ""OPTIONAL / unavailable"", ""form"": ""OPTIONAL / unavailable"", ""metatheory"": ""OPTIONAL / unavailable""}"
subst,9,8,4,AC_EQUIVALENT|EGRAPH_EQUIVALENT|KNOWN_REWRITE_EQUIVALENT|LGG_FAMILY|PATTERN_MATCH|SAME_FUNCTION_FAMILY|SUBSTITUTION_INSTANCE,egglog|lgg|matchpy|sympy,"{""sympy"": ""AVAILABLE"", ""matchpy"": ""AVAILABLE"", ""egglog"": ""AVAILABLE"", ""lgg"": ""AVAILABLE"", ""cadabra"": ""OPTIONAL / unavailable"", ""form"": ""OPTIONAL / unavailable"", ""metatheory"": ""OPTIONAL / unavailable""}"
deriv,3,5,1,DERIVATIVE_RELATED|EGRAPH_EQUIVALENT|KNOWN_REWRITE_EQUIVALENT|LGG_FAMILY|SUBSTITUTION_INSTANCE,egglog|lgg|sympy,"{""sympy"": ""AVAILABLE"", ""matchpy"": ""AVAILABLE"", ""egglog"": ""AVAILABLE"", ""lgg"": ""AVAILABLE"", ""cadabra"": ""OPTIONAL / unavailable"", ""form"": ""OPTIONAL / unavailable"", ""metatheory"": ""OPTIONAL / unavailable""}"
pole,7,4,1,EGRAPH_EQUIVALENT|KNOWN_REWRITE_EQUIVALENT|LGG_FAMILY|SUBSTITUTION_INSTANCE,egglog|lgg,"{""sympy"": ""AVAILABLE"", ""matchpy"": ""AVAILABLE"", ""egglog"": ""AVAILABLE"", ""lgg"": ""AVAILABLE"", ""cadabra"": ""OPTIONAL / unavailable"", ""form"": ""OPTIONAL / unavailable"", ""metatheory"": ""OPTIONAL / unavailable""}"
pw,6,4,1,EGRAPH_EQUIVALENT|KNOWN_REWRITE_EQUIVALENT|SAME_BRANCH_DEPENDENCY|SAME_FUNCTION_FAMILY,egglog|sympy,"{""sympy"": ""AVAILABLE"", ""matchpy"": ""AVAILABLE"", ""egglog"": ""AVAILABLE"", ""lgg"": ""AVAILABLE"", ""cadabra"": ""OPTIONAL / unavailable"", ""form"": ""OPTIONAL / unavailable"", ""metatheory"": ""OPTIONAL / unavailable""}"
perm,3,7,2,EGRAPH_EQUIVALENT|KNOWN_REWRITE_EQUIVALENT|LGG_FAMILY|PERMUTATION_RELATED|SAME_FUNCTION_FAMILY|SAME_INDEX_ORBIT|SUBSTITUTION_INSTANCE,egglog|lgg|sympy,"{""sympy"": ""AVAILABLE"", ""matchpy"": ""AVAILABLE"", ""egglog"": ""AVAILABLE"", ""lgg"": ""AVAILABLE"", ""cadabra"": ""OPTIONAL / unavailable"", ""form"": ""OPTIONAL / unavailable"", ""metatheory"": ""OPTIONAL / unavailable""}"
