ac_exact,family,gold_mode,id,llm,n_ac,n_alg_edge,n_canon_eq,n_deriv,n_filtered,n_lgg,n_lgg_cert,n_perm,polarity,split,hits
False,T1_ac,algebraic_equivalence,H-T1-pos-ac,BLOCKED,1,0,0,0,1,2,2,0,positive,test,"{""B0_b9"": false, ""B1_lgg"": true, ""B2_filtered"": true, ""B3_canon"": false, ""B4_ac_lgg"": true, ""B5_operator"": false, ""B6_llm"": null, ""target_B3"": false, ""target_B4"": false, ""target_B1"": true}"
False,T2_distrib,algebraic_equivalence,H-T2-neg,BLOCKED,1,0,0,0,1,2,2,0,negative,test,"{""B0_b9"": false, ""B1_lgg"": false, ""B2_filtered"": false, ""B3_canon"": true, ""B4_ac_lgg"": true, ""B5_operator"": false, ""B6_llm"": null, ""target_B3"": true, ""target_B4"": true, ""target_B1"": true}"
True,T2_distrib,algebraic_equivalence,H-T2-pos-distrib,BLOCKED,1,1,1,0,1,4,4,0,positive,test,"{""B0_b9"": false, ""B1_lgg"": true, ""B2_filtered"": true, ""B3_canon"": true, ""B4_ac_lgg"": true, ""B5_operator"": true, ""B6_llm"": null, ""target_B3"": true, ""target_B4"": true, ""target_B1"": true}"
False,T4_derivative,operator,H-T4-neg,BLOCKED,1,0,0,0,0,0,0,0,negative,test,"{""B0_b9"": false, ""B1_lgg"": false, ""B2_filtered"": false, ""B3_canon"": true, ""B4_ac_lgg"": true, ""B5_operator"": true, ""B6_llm"": null, ""target_B5"": true, ""target_B1"": true}"
False,T4_derivative,operator,H-T4-pos-pg,BLOCKED,1,0,0,1,2,2,2,0,positive,test,"{""B0_b9"": false, ""B1_lgg"": true, ""B2_filtered"": true, ""B3_canon"": false, ""B4_ac_lgg"": true, ""B5_operator"": true, ""B6_llm"": null, ""target_B5"": true, ""target_B1"": true}"
False,T7_basis,operator,H-T7-pos-swap,BLOCKED,1,0,0,0,0,0,0,1,positive,test,"{""B0_b9"": false, ""B1_lgg"": false, ""B2_filtered"": false, ""B3_canon"": false, ""B4_ac_lgg"": true, ""B5_operator"": true, ""B6_llm"": null, ""target_B5"": true, ""target_B1"": false}"
